
utterly вконец
oblivion забвение
bludgeon дубинка
bloat раздуваться
ointment мазь
stench зловоние
clarion горн
faucet кран
elan стремительность
virile мужественный
voluntary добровольный
perplex запутывать
ruckus гам
pace темп, шаг
puny тщедушный
immense огромный
hangover Похмелье
mend поправляться
enigma загадка
out_back малонаселенный
map_out планировать
rigid жесткий
plaque бляшка
profligacy распутство
fabled легендарный
prodigious чудовищный
controversial спорный
precinct избирательный участок
rake грабли
tempt искушать
gait походка
prudent предусмотрительный
converse разговаривать
imply подразумевать
apparently по-видимому
insidious  коварный
biased  пристрастный
evict выселять

spatial пространственный

concise лаконичній
